13772 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.871795, Positive Class Precision: 0.809524, Positive Class Recall: 0.944444, Negative Class Precision: 0.937500, Negative Class Recall: 0.789474
13561 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.936170, Positive Class Precision: 0.880000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.800000
13819 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.933333, Positive Class Precision: 0.875000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.812500
13903 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.878049, Positive Class Precision: 0.818182, Positive Class Recall: 0.947368, Negative Class Precision: 0.933333, Negative Class Recall: 0.777778
13523 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.933333, Positive Class Precision: 0.913043, Positive Class Recall: 0.954545, Negative Class Precision: 0.928571, Negative Class Recall: 0.866667
13600 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.930233, Positive Class Precision: 0.869565, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.823529
13696 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.888889, Positive Class Precision: 0.833333, Positive Class Recall: 0.952381, Negative Class Precision: 0.923077, Negative Class Recall: 0.750000
13655 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.930233, Positive Class Precision: 0.869565, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.823529
13640 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.936170, Positive Class Precision: 0.916667, Positive Class Recall: 0.956522, Negative Class Precision: 0.923077, Negative Class Recall: 0.857143
13526 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.756757, F1: 0.769231, Positive Class Precision: 0.625000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.590909
13463 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.900000, Positive Class Precision: 0.818182, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.789474
13618 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.783784, F1: 0.818182, Positive Class Precision: 0.720000, Positive Class Recall: 0.947368, Negative Class Precision: 0.916667, Negative Class Recall: 0.611111
13413 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.783784, F1: 0.800000, Positive Class Precision: 0.666667, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.619048
13546 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.871795, Positive Class Precision: 0.772727, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.750000
13670 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.882353, Positive Class Precision: 0.789474, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.818182
13645 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.883721, Positive Class Precision: 0.826087, Positive Class Recall: 0.950000, Negative Class Precision: 0.928571, Negative Class Recall: 0.764706
13888 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.888889, Positive Class Precision: 0.800000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.705882
13736 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.945946, F1: 0.950000, Positive Class Precision: 0.904762, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.888889
13729 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.810811, F1: 0.844444, Positive Class Precision: 0.730769, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.611111
13574 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.810811, F1: 0.820513, Positive Class Precision: 0.727273, Positive Class Recall: 0.941176, Negative Class Precision: 0.933333, Negative Class Recall: 0.700000
13639 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.945946, F1: 0.954545, Positive Class Precision: 0.913043, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.875000
13691 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.810811, F1: 0.820513, Positive Class Precision: 0.727273, Positive Class Recall: 0.941176, Negative Class Precision: 0.933333, Negative Class Recall: 0.700000
13608 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.880000, Positive Class Precision: 0.785714, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.600000
13900 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.810811, F1: 0.829268, Positive Class Precision: 0.708333, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.650000
13631 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.842105, Positive Class Precision: 0.727273, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.714286
13553 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.864865, Positive Class Precision: 0.761905, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.761905
13553 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.810811, F1: 0.844444, Positive Class Precision: 0.730769, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.611111
13642 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.913043, Positive Class Precision: 0.840000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.750000
13543 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.945946, F1: 0.947368, Positive Class Precision: 0.900000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.894737
13583 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.893617, Positive Class Precision: 0.807692, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.687500
