18193 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.916667, Positive Class Precision: 0.880000, Positive Class Recall: 0.956522, Negative Class Precision: 0.916667, Negative Class Recall: 0.785714
18343 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.909091, Positive Class Precision: 0.833333, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.764706
19305 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.945946, F1: 0.958333, Positive Class Precision: 0.958333, Positive Class Recall: 0.958333, Negative Class Precision: 0.923077, Negative Class Recall: 0.923077
18286 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.909091, Positive Class Precision: 0.833333, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.764706
18377 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.857143, Positive Class Precision: 0.857143, Positive Class Recall: 0.857143, Negative Class Precision: 0.812500, Negative Class Recall: 0.812500
18398 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.783784, F1: 0.833333, Positive Class Precision: 0.714286, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.529412
18894 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.904762, Positive Class Precision: 0.826087, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.777778
18006 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.891892, F1: 0.888889, Positive Class Precision: 0.800000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.809524
18875 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.918919, F1: 0.903226, Positive Class Precision: 0.823529, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.869565
18422 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.897959, Positive Class Precision: 0.814815, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.666667
18119 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.864865, F1: 0.878049, Positive Class Precision: 0.782609, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.736842
18105 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.783784, F1: 0.800000, Positive Class Precision: 0.666667, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.619048
18111 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.783784, F1: 0.750000, Positive Class Precision: 0.600000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.680000
17895 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.756757, F1: 0.769231, Positive Class Precision: 0.625000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.590909
18243 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.837838, F1: 0.888889, Positive Class Precision: 0.827586, Positive Class Recall: 0.960000, Negative Class Precision: 0.875000, Negative Class Recall: 0.583333
