14488 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.854167, F1: 0.881356, Positive Class Precision: 0.838710, Positive Class Recall: 0.928571, Negative Class Precision: 0.882353, Negative Class Recall: 0.750000
14353 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.937500, F1: 0.938776, Positive Class Precision: 0.920000, Positive Class Recall: 0.958333, Negative Class Precision: 0.956522, Negative Class Recall: 0.916667
14146 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.854167, F1: 0.872727, Positive Class Precision: 0.800000, Positive Class Recall: 0.960000, Negative Class Precision: 0.944444, Negative Class Recall: 0.739130
14172 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.895833, F1: 0.909091, Positive Class Precision: 0.892857, Positive Class Recall: 0.925926, Negative Class Precision: 0.900000, Negative Class Recall: 0.857143
14066 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.895833, F1: 0.905660, Positive Class Precision: 0.827586, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.791667
13749 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.937500, F1: 0.945455, Positive Class Precision: 0.896552, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.863636
14143 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.895833, F1: 0.901961, Positive Class Precision: 0.821429, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.800000
13815 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.916667, F1: 0.925926, Positive Class Precision: 0.862069, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.826087
14180 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.916667, F1: 0.933333, Positive Class Precision: 0.875000, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.800000
13978 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.958333, F1: 0.961538, Positive Class Precision: 0.961538, Positive Class Recall: 0.961538, Negative Class Precision: 0.954545, Negative Class Recall: 0.954545
14245 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.937500, F1: 0.936170, Positive Class Precision: 0.916667, Positive Class Recall: 0.956522, Negative Class Precision: 0.958333, Negative Class Recall: 0.920000
14100 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.958333, F1: 0.965517, Positive Class Precision: 0.933333, Positive Class Recall: 1.000000, Negative Class Precision: 1.000000, Negative Class Recall: 0.900000
14175 [main] INFO  org.linqs.psl.cli.Launcher  - Evaluation results for FAKENEWS -- Accuracy: 0.937500, F1: 0.952381, Positive Class Precision: 0.937500, Positive Class Recall: 0.967742, Negative Class Precision: 0.937500, Negative Class Recall: 0.882353
